,VOLUME,OPEN,HIGH,LOW,CLOSE
29/01/1993,1003200,43.96891619,43.96896088,43.74998827,43.937492
01/02/1993,480500,43.96894429,44.24988721,43.96865485,44.2501015
02/02/1993,201300,44.21887932,44.37491011,44.1249609,44.3438233
03/02/1993,529400,44.40641166,44.8438556,44.3750263,312.672265
04/02/1993,531500,44.96863761,45.09370359,44.87497521,44.99997486
05/02/1993,492100,44.96872709,45.06257834,44.7187572,44.96879228
08/02/1993,596100,44.96884415,45.12505413,44.90617887,44.96886644
09/02/1993,122100,44.81241043,44.81245898,44.56244095,44.6562891
10/02/1993,379600,44.6561595,44.75010032,44.53128141,44.7185721
11/02/1993,19500,44.78130368,45.12501869,44.78145834,44.93750229
12/02/1993,42500,44.87489624,44.8748539,44.59363887,44.59364526
15/02/1993,,,,,
16/02/1993,374800,44.46879488,44.46866841,43.40638314,43.46881058
17/02/1993,210900,43.46886921,43.53134707,43.28121815,43.4375461
18/02/1993,378100,43.9374918,43.93764959,42.68752745,43.40626449
19/02/1993,34900,43.40632215,43.56246981,43.34371275,43.56236084
22/02/1993,513600,43.68727978,43.78129735,43.56248835,43.71872603
23/02/1993,373700,43.84402664,43.87485216,43.46877859,43.68751657
24/02/1993,26300,43.71874799,44.24997599,43.71889785,44.24995768
25/02/1993,44500,44.24989436,44.37497039,44.12520983,44.34376542
26/02/1993,66200,44.43766759,44.43762976,44.1874026,44.40621029
01/03/1993,66500,44.43748387,44.53123473,44.2188591,44.28129745
02/03/1993,182400,44.31241432,44.93749787,44.25013699,44.93748695
03/03/1993,280100,45.00014633,45.15636832,44.93740843,45.12503259
04/03/1993,89500,45.18752265,45.18747623,44.87500507,44.87488291
05/03/1993,40000,44.93759672,45.12492055,44.71863314,44.75000781
08/03/1993,50800,44.84384342,45.75010955,44.84391675,45.75004969
09/03/1993,169300,45.65645665,45.68773459,45.49992388,45.59366163
10/03/1993,194400,45.59384926,45.68742239,45.40636761,45.68747404
11/03/1993,70900,45.71895748,45.84386352,45.50018104,45.56249722
12/03/1993,643600,45.18745067,45.21862684,44.81243471,45.09396884
15/03/1993,310800,45.06253281,45.31237799,45.06258507,45.31248599
16/03/1993,30800,45.31252536,45.43743177,45.31249352,45.31239609
17/03/1993,21800,45.24985804,45.24995011,44.96864556,45.03118968
18/03/1993,59300,45.21885136,45.49999872,45.21878576,45.31263099
19/03/1993,66900,45.28131112,45.28132526,45.03136937,45.03134181
22/03/1993,183400,44.59381244,44.87483901,44.56256899,44.78120524
23/03/1993,55200,44.90638153,44.93752534,44.81258709,44.87502836
24/03/1993,37200,44.81258921,45.06250628,44.59389401,44.87503101
25/03/1993,110100,44.90631218,45.2499321,44.84370006,45.15639692
26/03/1993,101500,45.12504373,45.15625283,44.8749964,44.90630163
29/03/1993,87100,44.93750359,45.3125228,44.93737435,45.09364829
30/03/1993,56000,45.15627322,45.21877091,45.09393351,45.21876758
31/03/1993,111600,45.34374561,45.46889881,45.18752583,45.18763386
01/04/1993,129500,45.25005604,45.24982935,44.93759755,45.03115487
02/04/1993,59400,44.65625221,44.65622433,44.09378762,44.09376819
05/04/1993,172200,44.43757295,44.43735957,44.18743827,44.31253727
06/04/1993,129700,44.40647048,44.40632907,44.0623246,44.18752476
07/04/1993,28000,44.25014533,44.34373879,44.15633708,44.34364977
08/04/1993,180800,44.53134835,44.53133289,44.09377179,44.2812726
09/04/1993,,,,,
12/04/1993,348500,44.71869339,44.93753928,44.65637794,44.90630305
13/04/1993,146100,44.87517678,45.15632563,44.84381159,44.99994867
14/04/1993,119600,45.03139507,45.06257218,44.90640262,44.93750629
